county_name,state_alpha,state_code,county_code,county_sub_code,hud_areaname,fips2010,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,GEOID,median_incomeE,median_incomeM,poverty_popE,poverty_popM,total_popE,total_popM,median_rentE,median_rentM
Ada County,ID,16,1,99999,"Boise City, ID HUD Metro FMR Area",1600199999,981,1118,1383,1944,2279,METRO14260M14260,16001,88907,1710,42195,2463,494706,374,1465,28
Adams County,ID,16,3,99999,"Adams County, ID",1600399999,681,706,895,1214,1518,NCNTY16003N16003,16003,59286,4144,686,172,4563,12,823,46
Adams County,WA,53,1,99999,"Adams County, WA",5300199999,763,905,1121,1549,1909,NCNTY53001N53001,53001,65042,4825,4199,784,20494,44,901,108
Asotin County,WA,53,3,99999,"Lewiston, ID-WA MSA",5300399999,709,826,1061,1508,1807,METRO30300M30300,53003,69107,5408,3317,457,22209,42,994,77
Baker County,OR,41,1,99999,"Baker County, OR",4100199999,625,746,927,1317,1419,NCNTY41001N41001,41001,57844,4135,2252,442,16336,91,814,38
Bannock County,ID,16,5,99999,"Pocatello, ID HUD Metro FMR Area",1600599999,629,715,941,1337,1603,METRO38540M38540,16005,64080,2470,10398,1092,85373,218,879,34
Bear Lake County,ID,16,7,99999,"Bear Lake County, ID",1600799999,668,672,877,1246,1494,NCNTY16007N16007,16007,67304,6987,660,174,6493,4,687,189
Benewah County,ID,16,9,99999,"Benewah County, ID",1600999999,649,737,970,1300,1474,NCNTY16009N16009,16009,56553,3912,1466,289,9786,25,853,58
Benton County,OR,41,3,99999,"Corvallis, OR MSA",4100399999,1184,1239,1530,2174,2578,METRO18700M18700,41003,76011,3407,17389,1069,90549,138,1359,41
Benton County,WA,53,5,99999,"Kennewick-Richland, WA MSA",5300599999,859,1012,1257,1664,2065,METRO28420M28420,53005,87316,2359,23008,2275,208077,326,1256,33
Bingham County,ID,16,11,99999,"Bingham County, ID",1601199999,662,666,877,1246,1412,NCNTY16011N16011,16011,76842,4355,5300,1138,48272,234,845,50
Blaine County,ID,16,13,99999,"Blaine County, ID",1601399999,863,980,1290,1726,1733,NCNTY16013N16013,16013,84470,4129,1821,672,24458,20,1217,232
Boise County,ID,16,15,99999,"Boise City, ID HUD Metro FMR Area",1601599999,981,1118,1383,1944,2279,METRO14260M14260,16015,77349,5571,658,208,8037,19,854,213
Bonner County,ID,16,17,99999,"Bonner County, ID",1601799999,801,806,1005,1428,1712,NCNTY16017N16017,16017,65168,3290,5231,1000,48902,138,1059,65
Bonneville County,ID,16,19,99999,"Idaho Falls, ID HUD Metro FMR Area",1601999999,699,830,1021,1451,1739,METRO26820M26820,16019,76646,2611,11922,1350,125396,181,1054,47
Boundary County,ID,16,21,99999,"Boundary County, ID",1602199999,663,668,879,1249,1363,NCNTY16021N16021,16021,62438,9951,2154,559,12543,36,867,89
Butte County,ID,16,23,99999,"Butte County, ID HUD Metro FMR Area",1602399999,635,759,934,1324,1591,METRO26820N16023,16023,43281,12416,561,185,2629,9,525,134
Camas County,ID,16,25,99999,"Camas County, ID",1602599999,749,754,984,1398,1669,NCNTY16025N16025,16025,55536,23112,77,54,1155,155,992,355
Canyon County,ID,16,27,99999,"Boise City, ID HUD Metro FMR Area",1602799999,981,1118,1383,1944,2279,METRO14260M14260,16027,72355,1595,24145,2298,237994,320,1259,45
Caribou County,ID,16,29,99999,"Caribou County, ID",1602999999,666,670,882,1217,1394,NCNTY16029N16029,16029,66653,6495,513,164,7038,7,800,109
Cassia County,ID,16,31,99999,"Cassia County, ID",1603199999,671,676,881,1252,1320,NCNTY16031N16031,16031,67042,3083,2546,590,24786,22,920,42
Chelan County,WA,53,7,99999,"Wenatchee, WA MSA",5300799999,891,1096,1332,1821,2099,METRO48300M48300,53007,78306,5707,7085,1072,78619,162,1182,69
Clackamas County,OR,41,5,99999,"Portland-Vancouver-Hillsboro, OR-WA MSA",4100599999,1574,1689,1930,2702,3143,METRO38900M38900,41005,100360,2211,31386,2229,419386,253,1693,21
